sequenceID	source.name	species	genotype
MN982670	ncbi-nuccore-feline	FIV	-
MN982671	ncbi-nuccore-feline	FIV	-
MN982672	ncbi-nuccore-feline	FIV	-
MN982673	ncbi-nuccore-feline	FIV	-
MN982674	ncbi-nuccore-feline	FIV	-
MN982675	ncbi-nuccore-feline	FIV	-
MN982676	ncbi-nuccore-feline	FIV	-
MN982677	ncbi-nuccore-feline	FIV	-
MN982678	ncbi-nuccore-feline	FIV	-
MN982679	ncbi-nuccore-feline	FIV	-
MN982680	ncbi-nuccore-feline	FIV	-
MN982681	ncbi-nuccore-feline	FIV	-
MN982682	ncbi-nuccore-feline	FIV	-
MN982683	ncbi-nuccore-feline	FIV	-
MN982684	ncbi-nuccore-feline	FIV	-
MN982685	ncbi-nuccore-feline	FIV	-
MN982686	ncbi-nuccore-feline	FIV	-
MN982687	ncbi-nuccore-feline	FIV	-
MN982688	ncbi-nuccore-feline	FIV	-
MN982689	ncbi-nuccore-feline	FIV	-
MN982690	ncbi-nuccore-feline	FIV	-
MN982691	ncbi-nuccore-feline	FIV	-
MN982692	ncbi-nuccore-feline	FIV	-
MN982693	ncbi-nuccore-feline	FIV	-
MN982694	ncbi-nuccore-feline	FIV	-
MN982695	ncbi-nuccore-feline	FIV	-
MN982696	ncbi-nuccore-feline	FIV	-
MN982697	ncbi-nuccore-feline	FIV	-
MN982698	ncbi-nuccore-feline	FIV	-
MN982699	ncbi-nuccore-feline	FIV	-
MN982700	ncbi-nuccore-feline	FIV	-
MN982701	ncbi-nuccore-feline	FIV	-
MN982702	ncbi-nuccore-feline	FIV	-
MN982703	ncbi-nuccore-feline	FIV	-
MN982704	ncbi-nuccore-feline	FIV	-
MN982705	ncbi-nuccore-feline	FIV	-
MN982706	ncbi-nuccore-feline	FIV	-
MN982707	ncbi-nuccore-feline	FIV	-
S67436	ncbi-nuccore-feline	FIV	SA
X57001	ncbi-nuccore-feline	FIV	GlobalFca
X60725	ncbi-nuccore-feline	FIV	GlobalFca
X68019	ncbi-nuccore-feline	FIV	GlobalFca
X69494	ncbi-nuccore-feline	FIV	GlobalFca
X69496	ncbi-nuccore-feline	FIV	GlobalFca
Y10614	ncbi-nuccore-feline	FIV	GlobalFca
M25381	ncbi-refseqs-core	FIV	GlobalFca
AF474246	ncbi-refseqs-feline	FIV	Canada
AX139034	ncbi-refseqs-feline	FIV	SA
AY600517	ncbi-refseqs-feline	FIV	Canada
AY713445	ncbi-refseqs-feline	FIV	NA_Asia
DD029017	ncbi-refseqs-feline	FIV	SA
DQ192583	ncbi-refseqs-feline	FIV	NA_B
E43300	ncbi-refseqs-feline	FIV	SA
EF455603	ncbi-refseqs-feline	FIV	NA_B
EF455604	ncbi-refseqs-feline	FIV	NA_B
EF455605	ncbi-refseqs-feline	FIV	NA_B
EF455606	ncbi-refseqs-feline	FIV	NA_B
EF455607	ncbi-refseqs-feline	FIV	NA_B
EF455608	ncbi-refseqs-feline	FIV	NA_B
EF455609	ncbi-refseqs-feline	FIV	NA_B
EF455610	ncbi-refseqs-feline	FIV	NA_B
EF455611	ncbi-refseqs-feline	FIV	NA_B
EF455612	ncbi-refseqs-feline	FIV	NA_B
EF455613	ncbi-refseqs-feline	FIV	NA_B
EF455614	ncbi-refseqs-feline	FIV	NA_B
EF455615	ncbi-refseqs-feline	FIV	NA_B
EU117991	ncbi-refseqs-feline	FIV	NA_Africa
EU117992	ncbi-refseqs-feline	FIV	NA_Africa
KF906143	ncbi-refseqs-feline	FIV	NA_A
KF906144	ncbi-refseqs-feline	FIV	NA_A
KF906145	ncbi-refseqs-feline	FIV	NA_A
KF906146	ncbi-refseqs-feline	FIV	NA_A
KF906147	ncbi-refseqs-feline	FIV	NA_A
KF906148	ncbi-refseqs-feline	FIV	NA_A
KF906149	ncbi-refseqs-feline	FIV	NA_A
KF906150	ncbi-refseqs-feline	FIV	NA_A
KF906151	ncbi-refseqs-feline	FIV	NA_A
KF906152	ncbi-refseqs-feline	FIV	NA_A
KF906153	ncbi-refseqs-feline	FIV	NA_A
KF906154	ncbi-refseqs-feline	FIV	NA_A
KF906155	ncbi-refseqs-feline	FIV	NA_A
KF906156	ncbi-refseqs-feline	FIV	NA_A
KF906157	ncbi-refseqs-feline	FIV	NA_A
KF906158	ncbi-refseqs-feline	FIV	NA_A
KF906159	ncbi-refseqs-feline	FIV	NA_A
KF906160	ncbi-refseqs-feline	FIV	NA_A
KF906161	ncbi-refseqs-feline	FIV	NA_A
KF906162	ncbi-refseqs-feline	FIV	NA_A
KF906163	ncbi-refseqs-feline	FIV	NA_A
KF906167	ncbi-refseqs-feline	FIV	NA_A
KF906168	ncbi-refseqs-feline	FIV	NA_A
KF906169	ncbi-refseqs-feline	FIV	NA_A
KF906170	ncbi-refseqs-feline	FIV	NA_A
KF906175	ncbi-refseqs-feline	FIV	NA_B
KF906176	ncbi-refseqs-feline	FIV	NA_B
KF906177	ncbi-refseqs-feline	FIV	NA_B
KF906178	ncbi-refseqs-feline	FIV	NA_B
KF906179	ncbi-refseqs-feline	FIV	NA_B
KF906180	ncbi-refseqs-feline	FIV	NA_B
KF906181	ncbi-refseqs-feline	FIV	NA_B
KF906182	ncbi-refseqs-feline	FIV	NA_B
KF906183	ncbi-refseqs-feline	FIV	NA_B
KF906184	ncbi-refseqs-feline	FIV	NA_B
KF906185	ncbi-refseqs-feline	FIV	NA_B
KF906186	ncbi-refseqs-feline	FIV	NA_B
KF906187	ncbi-refseqs-feline	FIV	NA_B
KF906188	ncbi-refseqs-feline	FIV	NA_B
KF906189	ncbi-refseqs-feline	FIV	NA_B
KF906190	ncbi-refseqs-feline	FIV	NA_B
KF906191	ncbi-refseqs-feline	FIV	NA_B
KF906192	ncbi-refseqs-feline	FIV	NA_B
KF906193	ncbi-refseqs-feline	FIV	NA_B
KF906194	ncbi-refseqs-feline	FIV	NA_B
M36968	ncbi-refseqs-feline	FIV	GlobalFca
M59418	ncbi-refseqs-feline	FIV	SA
MF352016	ncbi-refseqs-feline	FIV	GlobalFca
MF370550	ncbi-refseqs-feline	FIV	SA
MN630242	ncbi-refseqs-feline	FIV	GlobalFca
MW142019	ncbi-refseqs-feline	FIV	SA
MW142020	ncbi-refseqs-feline	FIV	SA
MW142021	ncbi-refseqs-feline	FIV	SA
MW142022	ncbi-refseqs-feline	FIV	SA
MW142023	ncbi-refseqs-feline	FIV	SA
MW142024	ncbi-refseqs-feline	FIV	SA
MW142025	ncbi-refseqs-feline	FIV	SA
MW142026	ncbi-refseqs-feline	FIV	SA
MW142027	ncbi-refseqs-feline	FIV	SA
MW142028	ncbi-refseqs-feline	FIV	SA
MW142029	ncbi-refseqs-feline	FIV	SA
MW142030	ncbi-refseqs-feline	FIV	SA
MW142031	ncbi-refseqs-feline	FIV	SA
MW142032	ncbi-refseqs-feline	FIV	SA
MW142033	ncbi-refseqs-feline	FIV	SA
MW142034	ncbi-refseqs-feline	FIV	SA
MW142035	ncbi-refseqs-feline	FIV	SA
MW142036	ncbi-refseqs-feline	FIV	SA
MW142037	ncbi-refseqs-feline	FIV	SA
MW142038	ncbi-refseqs-feline	FIV	SA
MW142039	ncbi-refseqs-feline	FIV	SA
MW142040	ncbi-refseqs-feline	FIV	SA
MW142041	ncbi-refseqs-feline	FIV	SA
MW142042	ncbi-refseqs-feline	FIV	SA
MW142043	ncbi-refseqs-feline	FIV	SA
MW142044	ncbi-refseqs-feline	FIV	SA
MW142045	ncbi-refseqs-feline	FIV	SA
MW142046	ncbi-refseqs-feline	FIV	SA
MW142047	ncbi-refseqs-feline	FIV	SA
MW142048	ncbi-refseqs-feline	FIV	SA
MW815633	ncbi-refseqs-feline	FIV	SA
MW815634	ncbi-refseqs-feline	FIV	SA
MW815635	ncbi-refseqs-feline	FIV	SA
MW815636	ncbi-refseqs-feline	FIV	SA
NC_001482	ncbi-refseqs-feline	FIV	GlobalFca
U11820	ncbi-refseqs-feline	FIV	SA
U56928	ncbi-refseqs-feline	FIV	NA_Asia
X57002	ncbi-refseqs-feline	FIV	GlobalFca
